ID;Ano Nascimento;Escolaridade;Estado Civil;Salario Anual;Filhos em Casa;Adolescentes em Casa;Data Cadastro;Ano Cadastro;Mes Cadastro;Dias Desde Ultima Compra;Gasto com Eletronicos;Gasto com Brinquedos;Gasto com Moveis;Gasto com Utilidades;Gasto com Alimentos;Gasto com Vestuario;Numero de Compras com Desconto;Numero de Compras na Web;Numero de Compras via Catalogo;Numero de Compras na Loja;Numero Visitas WebSite Mes;Compra na Campanha 1;Compra na Campanha 2;Compra na Campanha 3;Compra na Campanha 4;Compra na Campanha 5;Comprou;Pais;Total Gasto
2795;1958;Mestrado;Solteiro;30523.0;2;1;2020-01-07;2020;1;0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;Não;Chile;13.0
2285;1954;Mestrado;Casado;36634.0;0;1;2023-12-05;2023;12;0;213;9;76;4;3;30;3;5;2;5;7;0;0;0;0;0;Não;Espanha;335.0
115;1966;Mestrado;Solteiro;43456.0;0;1;2023-02-03;2023;2;0;275;11;68;25;7;7;3;5;1;8;5;0;0;0;0;0;Não;Argentina;393.0
10470;1979;Mestrado;Solteiro;40662.0;1;0;2023-05-03;2023;5;0;40;2;23;0;4;23;2;2;1;3;4;0;0;0;0;0;Não;Alemanha;92.0
4065;1976;Doutorado;Solteiro;49544.0;1;0;2020-11-02;2020;11;0;308;0;73;0;0;23;2;5;1;8;7;0;0;0;0;0;Não;Estados Unidos;404.0
10968;1969;Curso Superior;Solteiro;57731.0;0;1;2022-04-11;2022;4;0;266;21;300;65;8;44;4;8;8;6;6;0;0;0;0;0;Não;Argentina;704.0
5985;1965;Mestrado;Solteiro;33168.0;0;1;2022-12-10;2022;12;0;80;1;37;0;1;3;3;2;1;4;7;0;0;0;0;0;Não;Estados Unidos;122.0
5430;1956;Curso Superior;Casado;54450.0;1;1;2022-04-09;2022;4;0;454;0;171;8;19;32;12;9;2;8;8;0;0;0;0;0;Não;Estados Unidos;684.0
8432;1956;Curso Superior;Casado;54450.0;1;1;2022-04-09;2022;4;0;454;0;171;8;19;32;12;9;2;8;8;0;0;0;0;0;Não;Estados Unidos;684.0
453;1956;Doutorado;Divorciado;35340.0;1;1;2021-07-06;2021;7;1;27;0;12;0;1;5;2;2;0;3;5;0;0;0;0;0;Não;Estados Unidos;45.0
1826;1970;Curso Superior;Divorciado;84835.0;0;0;2021-03-06;2021;3;0;189;104;379;111;189;218;1;4;4;6;1;0;0;0;0;0;Sim;Estados Unidos;1190.0
1;1961;Curso Superior;Solteiro;57091.0;0;0;2021-03-06;2021;3;0;464;5;64;7;0;37;1;7;3;7;5;0;0;0;0;1;Sim;Chile;577.0
10476;1958;Curso Superior;Solteiro;67267.0;0;1;2021-07-05;2021;7;0;134;11;59;15;2;30;1;3;2;5;2;0;0;0;0;0;Não;Portugal;251.0
1386;1967;Curso Superior;Casado;32474.0;1;1;2018-11-05;2018;11;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;Não;Brasil;11.0
5371;1989;Curso Superior;Solteiro;21474.0;1;0;2018-08-04;2018;8;0;6;16;24;11;0;34;2;3;1;2;7;1;0;0;0;0;Sim;Estados Unidos;91.0
7348;1958;Doutorado;Solteiro;71691.0;0;0;2021-02-03;2021;2;0;336;130;411;240;32;43;1;4;7;5;2;0;0;0;0;0;Sim;Estados Unidos;1192.0
4073;1954;Segundo Grau;Solteiro;63564.0;0;0;2021-07-01;2021;7;0;769;80;252;15;34;65;1;10;10;7;6;1;0;0;0;0;Sim;Alemanha;1215.0
1991;1967;Curso Superior;Casado;44931.0;0;1;2021-04-01;2021;4;0;78;0;11;0;0;7;1;2;1;3;5;0;0;0;0;0;Não;Estados Unidos;96.0
4047;1954;Doutorado;Solteiro;65324.0;0;1;2018-11-01;2018;11;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;Não;Portugal;544.0
9477;1954;Doutorado;Solteiro;65324.0;0;1;2018-11-01;2018;11;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;Não;Argentina;544.0
2079;1947;Segundo Grau;Solteiro;81044.0;0;0;2023-03-12;2023;3;0;450;26;535;73;98;26;1;5;6;10;1;0;0;0;0;0;Não;Portugal;1208.0
5642;1979;Mestrado;Casado;62499.0;1;0;2020-09-12;2020;9;0;140;4;61;0;13;4;2;3;1;6;4;0;0;0;0;0;Não;Estados Unidos;222.0
10530;1959;Doutorado;Divorciado;67786.0;0;0;2020-07-12;2020;7;0;431;82;441;80;20;102;1;3;6;6;1;0;0;0;0;0;Sim;Argentina;1156.0
2964;1981;Curso Superior;Solteiro;26872.0;0;0;2023-01-10;2023;1;0;3;10;8;3;16;32;1;1;1;2;6;0;0;0;0;0;Não;Chile;72.0
10311;1969;Curso Superior;Solteiro;4428.0;0;1;2020-05-10;2020;5;0;16;4;12;2;4;321;0;25;0;0;1;0;0;0;0;0;Não;Estados Unidos;359.0
837;1977;Curso Superior;Solteiro;54809.0;1;1;2020-11-09;2020;11;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;Não;Estados Unidos;174.0
10521;1977;Curso Superior;Solteiro;54809.0;1;1;2020-11-09;2020;11;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;Sim;Estados Unidos;174.0
10175;1958;Doutorado;Divorciado;32173.0;0;1;2020-01-08;2020;1;0;18;0;2;0;0;2;1;1;0;3;4;0;0;0;0;0;Não;Estados Unidos;22.0
1473;1960;Segundo Grau;Solteiro;47823.0;0;1;2023-04-07;2023;4;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;Não;Chile;72.0
9687;1975;Curso Superior;Solteiro;73170.0;0;0;2021-08-05;2021;8;1;184;174;256;50;30;32;1;5;4;6;2;0;0;0;0;0;Não;Chile;726.0
8890;1971;Doutorado;Divorciado;65808.0;1;1;2021-02-05;2021;2;1;155;7;80;13;7;10;3;5;1;5;6;0;0;0;0;0;Não;Estados Unidos;272.0
